"# 文本key","文本value"
"ttdesc_content_18_112","[<TDName>「Leg Disability」</> Leg Ailment. Greatly reduces MSPD. Cannot use Kick Moves. Cure: Clinic, cure yourself with Inner Kungfu <TDName>「Golden Acupuncture」</>]"
"ttdesc_content_18_109","[<TDName>「Blind」</> Eye Ailment. You can only hear. Cannot use Concealed Weapon Moves. Cure: Clinic, cure yourself with Inner Kungfu <TDName>「Golden Acupuncture」</>]"
"ttdesc_content_18_110","[<TDName>「Ordeal Sigil」</> Takes effect at midnight and noon everyday, randomly creating 3 Hysteria. In most circumstances, it cannot be cleansed.]"
"ttdesc_content_29","[Items are bartered in Exchange, which proceeds only if it's fair or if your partner profits]\\n[Allowing your partner to profit increases their Affinity]\\n[You can take more items from someone who likes you, but their Affinity will go down]"
"ttdesc_content_30","[After acquiring Tame, you can Tame animals by setting Traps with their favorite food, or by knocking them out.]\\n[<TDName>「Horses」</> can be ridden or harnessed to a carriage. They like Wild Grass.]\\n[<TDName>「Eagles」</> can enter Hawk Eye mode and help track targets. They like Meat.]\\n[<TDName>「Monkeys」</> can beg and deliver resources. They like Pinecones and Plums.]\\n[<TDName>「Snakes」</> can pick locks and use poison without gaining Misdeed. They like Meat and Eggs.]\\n[<TDName>「Martens」</> prompt you when you approach Treasure. The closer you are, the more frequent their prompts. They like Meat and Eggs.]\\n[<TDName>「Chickens」</> lay eggs every day. They like Lampworms, Bloodworms, Loveworms, and Deathworms.]"
"ttdesc_content_31","[You can gain <TDName>「Kungfu Insight」</> through battle or dummy practice (Sect Training Room). <TDName>「Kungfu Insight」</> can be used to advance Skills.]"
"ttdesc_content_32","[<TDName>If Vigor drops to 0</>, you suffer Meridian Ailments]\\n[Vigor can be restored by sleeping, bathing, or taking food or potions]\\n[You can <TDName>use 1 item</> per turn in battle]"
"ttdesc_content_33","[<TDName>「Create Sect」</> Open Social and spend money to create your own sect]\\n[<TDName>「Join Sect」</> View sect info and entry requirements on Bulletin Boards at Sect Mountain Gates. You can join a sect if you meet their requirements. After joining, you can view Sect options in Social]\\n[If you meet the entry requirements of a sect, you may receive an invitation to join via <TDName>Pigeon Post</> ]"
"ttdesc_content_34","[<TDName>「Create Party Flag」</> Add the current lot to your sect's Influence]\\n[<TDName>「Build Houses」</> You can also add functional facilities, such as cages, grocery cabinets, bookcases, dummies, and beds, for your disciples. ]\\n[<TDName>「Create Sect Rules」</> Once becoming the Master, you can manage your sect in Social by creating Entry Requirements, Sect Taboos, and Tax Rules]. Members must meet all Entry Requirements in order to join your sect. We recommend selecting a small number of rules. \\n[<TDName>「Recruitment」</> Interact with others and invite them to join your sect. Meet their demands and they'll join. Others may also request to join when they see your Entry Requirements.]\\n[<TDName>「Expand Influence」</> Only one Party Flag is allowed in each region. You can take control of a region by taking down other Party Flags and setting up your own. Non-sect members in the region must pay taxes according to the sect's Tax Rules. ]"
"ttdesc_content_35","【<TDName>「Issue command」</>You can issue commands to fellow disciples within the sect who are one level lower in position, and edit detailed content in the command page of the social interface】\\n【<TDName>「Reputation」</>By increasing the favorability of members in your faction towards you, you can increase your reputation (by challenging and winning against members with higher sect positions, you can gain a large amount of reputation). Reputation can unlock the permission to use facilities in the sect and offer discounts on exchanging unique skills, internal skills, equipment, and other resources】"
"ttdesc_content_36","【<TDName>「Duties」</>When the reputation meets the requirements of the next position, you can seek promotion evaluation from the leader to obtain promotion. The higher the position, the more disciples you can command】\\n【<TDName>「Learning Art」</>The bookshelf of the sect records all the unique skills and internal skills entered by the sect leader. You can purchase corresponding unique skills and internal skills to increase reputation and reduce expenses】\\n【<TDName>「Practice」</>The wooden figures of the sect can train their martial arts skills to perfection, and the ultimate challenge in martial arts can obtain martial arts experience】\\n【<TDName>「Articles」</>A variety of business facilities of the school can buy goods, and an increase in popularity will reduce costs.】"
"ttdesc_content_37","[The default Move deck contains only <TDName>「1 Palm, 1 Fist, and 1 Kick Move」</>. You gain <TDName>「1 Concealed Weapon Move」</> after equipping a Concealed Weapon, and <TDName>「1 Weapon Move」</> after equipping a Weapon]\\n[A skill's <TDName>「 required number of Moves」</> will be added to your Move deck. For example, Tortoise Fist requires 3 Fists. Once equipped, 3 Fists will be added to your deck.]\\n[If you equip a Skill that requires <TDName>「Weapon Moves」</> without equipping a Weapon, Weapon Moves will not be added to your Move deck. Same for Concealed Weapons. ]"
"ttdesc_content_38","[You can use <TDName>「DEF Move」</> to keep your Moves until the next turn.]\\n[Once you reach <TDName>「Technique Sage」</>, DEF Moves can copy<TDName> 2 </> Moves to next turn.]\\n[Some Gear can add starting Moves.]"
"ttdesc_content_39","[<TDName>「Censer」</> Give donations to lessen Misfortune. People can pay to reduce Misfortune.]\\n[<TDName>「Bar for 4」</> A simple wooden table for four. People can pay to relax here.]\\n[<TDName>「Bar for 2」</> A lavish wine table for two. People can pay to relax here.]\\n[<TDName>「Sickbed」</> A place to wait for healing. People can pay to use it.]\\n[<TDName>「Potion Shelf」</> A place to sell potions. People can buy potions they need.]\\n[<TDName>「Wine Shelf」</> A place to sell food and drinks. People can buy refreshments here.]\\n[<TDName>「Weapon Shelf」</> A place to sell Weapons/Concealed Weapons. People can buy powerful gear here.]\\n[<TDName>「Counter」</> Stores curios. People can buy treasure here.]\\n[<TDName>「Grocery Cabinet」</> Stores materials and goods. People can buy materials here.]\\n[<TDName>「Hanger」</> A place to sell hats, tops, and pants. People can buy powerful gear here.]\\n[<TDName>「Spring」</> Have a bath to restore Vigor/Energy and cure Ailments. People can pay for relaxation or healing.]\\n[<TDName>「Stable」</> A place to sell horses and travel afar.]\\n[<TDName>「Bookcase」</> A place to keep Skill Manuals and Inner Kungfu Manuals. People can buy manuals to enhance themselves.]\\n[<TDName>「City Guardian」</> A place to pray. You earn money when someone prays here.]"
"ttdesc_content_40","[<TDName>「Bonfire」</> A place to cook. Higher Cooking allows you to prepare higher-quality food. You can also apply statuses to bonfires to meet the requisites of advanced recipes.]\\n[<TDName>「Farmland」</> A place to plant herbs. Use poo as fertilizers to speed up growth.]\\n[<TDName>「Crucible」</> A place to make potions. Higher Leechcraft allows you to concoct more advanced potions.]\\n[<TDName>「Furnace」</> A place to forge Weapons and Concealed Weapons. Higher Forging gives a higher chance of producing high-quality arms, at the cost of more resources consumed.]\\n[<TDName>「Loom」</> A place to weave hats, tops, and pants. Higher Weaving gives a higher chance of producing high-quality outfits, at the cost of more resources consumed.]"
"ttdesc_content_41","[<TDName>「Simple Trap」</> Place it on the ground to deal DMG to anyone who steps on it]\\n[<TDName>「Cage」</> Detains enemies.]\\n[<TDName>「Archer Tower」</> Fends off invaders. Allows targeting of attackers.]"
"ttdesc_content_42","[If you run the only establishment in the world, people don't have alternative options]\\n[You can spend money to <TDName>Advertise</> your facility. Customers will choose your facility over others for a period of time.]"
"ttdesc_content_43","[<TDName>「Expand Lots」</> You will get a Pigeon Post after completing a Lot Trial Quest. Click and select the option to expand lots. You can also spend money to expand lots at Cargo Ships.]\\n[<TDName>「Lot Terrain」</> Some lots have harsh terrain with constant Cold, Heat, or Poison Gas. ]\\n[<TDName>「Special Lots」</> Each special lot has its own requisite conditions. You must fulfill these conditions to expand your land.]\\n[<TDName>「Random Lots」</> Influence, Bandit, and Wonders lots are generated randomly as the world grows.]"
"ttdesc_content_44","[Use 「Blueprints」 to place building blueprints you designed.]\\n[You can add facilities during construction, or build a shell and add contraptions in Backpack later]\\n[Construct more buildings to level up your 「Establishment」 ability and unlock more building templates]"
"ttdesc_content_45","[Press [1=31] to Sneak]\\n[A detection circle is shown in Sneak. When the inner circle moves close to the target, you'll be detected. The outer circle signifies the range of sound.]\\n[The Sensation of individuals and animals is affected by various factors. For example, a blind person is more sensitive to sound.]\\n[Level up your Sneak ability, and use Haystacks and Midnight Robes to decrease the radius of your detection circle and reduce the risk of being detected.]\\n[Midnight Robes are more effective at night.]"
"ttdesc_content_46","[Before the auction begins, you can click Add Auction Item to list your own items for auction.]\\n[At the end of the auction, proceeds from sold items will be sent to your inventory after deducting a 10% auction fee.]\\n[Your unsold items will be returned to your inventory. Other items will be relisted at the next auction.]"
"ttdesc_content_47","[<TDName>「Greet」</> Default shortcut Q. Creatures nearby will respond, and people with Affinity over 600 will come over to team up.]\\n[<TDName>「Team up」</> You can team up with people with Affinity over 600.]\\n[<TDName>「Order」</> Default shortcut E. In Order mode, you can issue orders to teammates within a certain range.]"
"ttdesc_content_48","[<TDName>「Debate」</>Debate is a milder form of combat that can be used to negotiate trade prices, avoid physical fights, ease relations, and even forge alliances. ]\\n[<TDName>「Debate Mechanics」</> Once you start a Debate, the confrontation starts automatically. In each round, you can draw up to 9 Verbal Duels from your Verbal Duel Pile for the encounter]\\n[<TDName>「Debate Mechanics」</> At the end of each round, you can choose one additional unlocked Verbal Duel from your Verbal Duels Deck in the Abilities System to use with your Verbal Duel Pile]\\n[<TDName>「Debate Mechanics」</> In a Debate, you battle your opponent with Eloquence. The difference between your Eloquence determines how the top Confrontation bar progresses]\\n[<TDName>「Victory Conditions」</> Both parties start the Debate with their current Spirits. You win when the opponent's Spirits becomes 0]\\n[<TDName>「Victory Rewards」</> After winning a Debate, you can choose a Victory Objective to influence your opponent, such as reducing their Vigor or inducing Admire toward you. If you meet the requirements for crafting Verbal Duels in a Debate, you can choose more powerful Ultimate Victory Objectives. ]\\n[<TDName>「Penalty for Losing」</> If you lose, your Spirits is decreased by 30%]"
"first_combat_desc_1","You will fail when Vigor is empty"
"first_combat_desc_2","Opponent’s next Moves this turn"
"first_combat_desc_3","Drag your Moves to counter opponent’s attack"
"first_combat_desc_4","Moves to be played"
"first_combat_desc_5","Moves not played"
"first_combat_desc_6","Activate Skill by delivering its required number of Moves in one turn."
"first_combat_desc_7","Opponent’s Skills"
"Loading_Destiny_Summary_1","After all these years you finally became an adult..."
"Loading_Destiny_Summary_2","Till adulthood"
"me_content_1","I see that you have an extraordinary countenance. You must be a rare kungfu prodigy. I want to pass my own unique kungfu arts to you. Are you interested?"
"me_content_2","Yo, noble hero, spare some change my way. Or a snack to munch on, brighten up my day!"
"me_content_3","I've always wondered what it takes to establish yourself in the martial world. Your keen eyes and way with words speak of great wisdom. Could you offer me your counsel?"
"me_content_4","From your striking bearing and renown, I'd wager you're one of great honor. I have a wealthy relative blessed with a fair maiden, peerless beauty she is. You two are made for each other, so I thought I'd play matchmaker if you're so inclined. How do you take to the idea, good sir?"
"me_content_5","I'm afflicted with a curious poison...It can only be cured by a strike to an acupoint with intense Inner Kungfu. Please, could you save me?"
"me_content_6","[#1You] are seriously ill. I suggest you go to the Clinic at 「Flora Valley」 later on. Here is a 「Marrow Refining Pill」. It can help you heal some of the ailments!"
"me_content_7","I’ve run out of money recently. Give everything you got to me,now!"
"me_content_8","We’re getting along with each other. How about we swear to become brothers?"
"me_content_9","Trees live on mountains and branches live on tree. My heart lives for you but you do not see."
"me_content_10","You’re not wearing enough. It’s too cold outside. Put this on. "
"me_content_11","You must be homeless,right? I heard there is a good place to build Residence in Longting. You may build your own house there as a shelter to resist coldness and restore Vigor."
"me_content_12","[#1You] look upset. Don't repress your eros. Let's go out and have some fun!"
"me_content_13","Bro, did [#1you] know about a kungfu manual called 「Extermination」? Legend has it the one who acquires it will become invincible! Could you 「borrow」 it for me?"
"me_content_14","Your Qinggong is impressive. But to become a Qinggong guru,you still need a help of a stone!"
"me_content_15","Did you know there’s a treasure chest in Longting?"
"me_content_16","Warrior,you look like a marital artist. Do you know Inner Kungfu can be passed on from others?"
"me_content_17","Why are you dressed in rags? You should buy yourself some clothes at the Fabric Shop!"
"me_content_10000","What illness would [#1you] like me to cure?"
"me_content_10001","[#1You] have impressive kungfu. Care to show me a move or two? !"
"me_content_10002","Oooh! What keen eyes and sturdy gait. A presence most splendid. I sense raw talent here! So... Want to learn a thing or two? How's that sound?"
"me_content_10003","I don't have much use for these, but they may prove helpful to [#1you]. Here, you can have them."
"me_content_10005","I'm grateful for everything you've done. If you're willing, I wish to become sworn brothers with you. I'm prepared to stand by you, through thick and thin. I'll be truly honored."
"me_content_10006","I...I've long adored you, good sir. Would you consider uniting our fates? I pledge to stay by your side till the end of our lives."
"me_content_10007","I sense you bear an Ailment. Permit me to examine your Meridians and treat your Ailments?"
"me_content_10008","Why are [#1you] so frail? What happened to your Vigor? Here, have a seat, let me help you heal."
"me_content_10009","I'm in good spirits today. Want to join me for some fun?"
"me_option_1","The honor is mine."
"me_option_2","That's too good to be true. I sense something dodgy here!"
"me_option_3","Man, I feel bad for him. I can part with a few coins."
"me_option_4","Give your help whatever it takes 「give everything in your Backpack」"
"me_option_5","Pretend not to see"
"me_option_6","Really have no idea"
"me_option_7","Of course it’s the most powerful kungfu! Nobody can beat me any more!"
"me_option_8","Countless wealth! They said wealth can even make a ghost do donkey’s work!"
"me_option_9","Friendship! Meet and befriend all heroes!"
"me_option_10","That’s exactly what I thought! !!"
"me_option_11","I’m too young for this. Thanks."
"me_option_12","Clap"
"me_option_13","Pretend not to see"
"me_option_14","Where is the nearest Clinic?"
"me_option_15","I knew it already."
"me_option_16","Spend more money to get out of troubles..."
"me_option_17","Firmly refuse! !!"
"me_option_18","That’s what I thought!"
"me_option_19","Politely refuse"
"me_option_20","I give you my heart and the rest of my life."
"me_option_21","A petal fell in the stream of love,which inexorably rushed by."
"me_option_22","Thank you. You’re so kind!"
"me_option_23","I don’t need this."
"me_option_24","Where is Longting’s foundation?"
"me_option_26","Where shall we go to have fun?"
"me_option_28","Ok. Where can I find this manual now?"
"me_option_29","You’re on your own. It’s none of my business! !"
"me_option_30","Where is this stone now?"
"me_option_31","You fraud!"
"me_option_32","Where is this treasure chest?"
"me_option_33","I’m not interested!"
"me_option_34","Oh? How to pass it on?"
"me_option_35","I knew it already!"
"me_option_36","Where is the Weaving Workshop?"
"me_option_37","I like being naked!"
"me_option_50000","Restore Vigor 「30 coins」"
"me_option_50000_1","Restore Vigor"
"me_option_50001","Cure Ailments 「{0} coins」"
"me_option_50001_1","Cure Ailment "
"me_option_50002","Cure Eye Disability 「{0} coins」"
"me_option_50002_1","Cure Eye Disability"
"me_option_50003","Cure Leg Disability 「{0} coins」"
"me_option_50003_1","Cure Leg Disability"
"me_option_50004","Cure Hand Disability 「{0} coins」"
"me_option_50004_1","Cure Hand Disability"
"me_option_50005","Dispel Debuff 「{0} coins」"
"me_option_50005_1","Dispel Debuff"
"me_option_50010","Let me teach you a Skill!"
"me_option_50011","Refuse!"
"me_option_50012","I want to learn!"
"me_option_50013","Never mind!"
"me_option_50014","Accept gift!"
"me_option_50017","Become brothers!"
"me_option_50018","Politely refuse"
"me_option_50019","Become partners!"
"me_option_50020","Politely refuse"
"me_option_50021","Gladly agree!"
"me_option_50022","Politely refuse"
"me_option_99999","I only want to lie down for a while..."
"me_result_1","I’m so lucky! A new kungfu acquired! Power boosted!"
"me_result_2","The kungfu taught by 「{0}」 is awful. Chi became unsteady in your Meridians... 「Inner Injury increased」"
"me_result_3","「{0}」 pouted and neglected you."
"me_result_4","「{0}」 thought you overlooked him. Attitude toward you:「Despise」"
"me_result_5",""
"me_result_6","「{0}」 thought you were so poor and gave you 15 Coins. Attitude toward you:「Sympathy」"
"me_result_7","「{0}」 gazed at you hollowly..."
"me_result_8","You feel your soul is refined. Vigor +100"
"me_result_9",""
"me_result_10",""
"me_result_11",""
"me_result_12","「{0}」 waved the sleeves and used some dirty tricks. You feel faint. 「Poison Gas +3」"
"me_result_13","「{0}」 gave you a treasure map."
"me_result_14","「{0}」 became your dear friend. Attitude toward you:「Admire」"
"me_result_15","A woman became intimate with you. Her debts were also transferred to you... 「Coins -10,000」"
"me_result_16","A woman became intimate with you."
"me_result_17","「{0}」sighed and gazed at you with sadness."
"me_result_18","You clapped. 「{0}」 spit a mouthful of purple blood and 「{0}」’s face turned red. Attitude toward you:「Grateful」"
"me_result_19","You clapped. 「{0}」 fell down and screamed!"
"me_result_20","「{0}」 fainted as the poison took effect!"
"me_result_21","「{0}」 glanced at you and took off the disguise."
"me_result_22",""
"me_result_23",""
"me_result_24","Your bag got robbed."
"me_result_25","「{0}」 decided to teach you a lesson! !!"
"me_result_26","You and 「{0}」 became dear friends."
"me_result_27",""
"me_result_28","You and 「{0}」 became intimate."
"me_result_29",""
"me_result_30","Obtained a clothes to resist cold."
"me_result_31",""
"me_result_32","Build the residence to shelter yourself from the cold and restore Vigor in it!"
"me_result_33","Having a hot spring bath,taking a sip of wine at the tavern,or listening to melodies at the Music House will cheer you up!"
"me_result_34","「Extermination」 has been hidden at a sect’s hall!"
"me_result_35",""
"me_result_36","That stone lies on the Dragonhead in Longting. Find a way to get there on your own!"
"me_result_37","Believe it or not,it’s up to you!"
"me_result_50010","You taught 「{0}」 a Skill. Attitude toward you:「Grateful」"
"me_result_50011","You learned a Skill from 「{0}」!"
"me_result_50012","「{0}」 gave you something."
"me_result_50017","「{0}」 became your Dear Friend!"
"me_result_50018","You refused 「{0}」’s request to become brothers!"
"me_result_50019","「{0}」 became intimate with you!"
"me_result_50020","You refused 「{0}」’s request to become partners!"
"me_result_50021","「{0}」 cured your Ailment!"
"me_result_50022","You refused 「{0}」’s offer to cure your Ailment!"
"me_result_50023","「{0}」 restored your Vigor!"
"me_result_50024","You refused 「{0}」’s offer to restore your Vigor!"
"me_result_50025","It seems 「{0}」 is taking you somewhere to have some fun!"
"me_result_50026","You refused 「{0}」’s invitation to have fun together!"
"activity_message_tips","The Kungfu Contest will be held in a half of day,"
"join_party","Attend Kungfu Contest"
"no_join_party","Don’t attend Kungfu Contest"
"join_wulin_assembly","Go attend Kungfu Contest"
"start_wulin_assembly","Begin Kungfu Contest"
"wulin_assembly_no_one","The Kungfu Contest can’t get started,because no attendants were here! !!"
"wulin_assembly_no_one_player","The Kungfu Contest can’t get started,because no other attendants were here! !!"
"wulin_assembly_who_win","After brutal fights,「{0}」 became the Champion."
"wulin_assembly_title_prestart","Kungfu Contest:Pending"
"wulin_assembly_playerlist","Attendants List"
"wulin_assembly_title_round","Kungfu Contest:Match {0}"
"wulin_assembly_against","vs"
"wulin_assembly_title_end","Kungfu Contest:Closing"
"wulin_assembly_final_winer","Champion"
"wulin_assembly_join","Enter now"
"wulin_assembly_giveup","Abandon participation"
"wulin_assembly_player_state_0","Vacant Seat"
"wulin_assembly_player_state_1","Qualified"
"wulin_assembly_player_state_2","Reach"
"wulin_assembly_player_state_3","Win Streak"
"wulin_assembly_player_state_4","Defeated"
"auction_join","Join Auction"
"auction_add_goods","Add Auction Item"
"auction_exit_tips","Quit this auction?"
"auction_success","{0} offered the highest bid ({1}) and obtained the item"
"auction_fail","No one interested. This item will be relisted at the next auction."
"auction_start","Start bidding"
"auction_default_price","Reserve price:"
"auction_not_price","No bid"
"auction_price","「{0} 」 bids:"
"auction_countdown","Countdown"
"auction_giveup","Give up"
"auction_big_add","Big increment {0}"
"auction_small_add","Small increment {0}"
"auction_my_money","My Funds"
"auction_goods","Auction Items"
"auction_finish","That concludes our auction! Congratulations to all successful bidders. To those who came up empty-handed, don't lose heart. Stay tuned for our next auction. You may find something more remarkable!"
"auction_skill1","Persuade"
"auction_skill2","Intimidate"
"auction_skill3","Mark as Enmity"
"Character_Select_Info","Select personal information"
"Character_View_Move","View move information"
"Character_Select_Euqip","Select equipment"
"Character_Editor_Euqip","Replace equipment"
"Characeter_Unload_Euqip","Uninstalling equipment"
"Character_Select_Skill","Choose Study"
"Character_Editor_Skill","Edit Study"
"Character_Use_Skill","Equipment"
"Character_Unload_Skill","Uninstallation of learning"
"Character_Editor_NeiGong","Edit internal Gong"
"Character_Select_SkillType","Select Skills"
"Character_Change_page","Switch page"
"Character_Moving_Cursor","Mobile cursor"
"Character_Change_Skill_Page","Switching the pagination"
"Character_View_Prop","View attributes"
"作弊界面",""
"Admin_page_title_1","Switch"
"Admin_page_title_2","Button"
"Admin_page_title_3","Enter"
"Admin_page_title_4","Item"
"Admin_page_title_5","other"
"Admin_neili_switch","Infinite Energy"
"Admin_tile_save_switch","Create Save for Land Mass"
"Admin_clone_skill","Clone all Skills"
"Admin_clone_ability","Clone all Abilities"
"Admin_clone_equip","Clone all Legendary Gears"
"Admin_clear_disease","Cleanse all Ailments"
"Admin_open_place_tile_panel","Unlock Land Mass"
"Admin_join_sect","Join Sect"
"Admin_add_tongqian","Add Coins"
"Admin_add_yinliang","Add Silver"
"Admin_cure_qili","Restore Vigor"
"Admin_add_zhenqi","Increase Chi"
"Admin_add_xiuwei","Add Kungfu Insight"
"Admin_add_time","Increase Time"
"Admin_tansfer","Teleport"
"Admin_reputation","Apply Reputation"
"Admin_pokemon","Add Pet"
"Admin_switch_open","Open"
"Admin_switch_close","Turn Off"
"Admin_btn_add","Add"
"Admin_btn_apply","Apply"
"Admin_item_craft","Craft Item"
"Admin_item_food","Food"
"Admin_item_material","Material"
"Admin_item_skill","Skill Manual"
"Admin_item_neigong","Inner Kungfu Manual"
"Admin_item_tool","Contraption"
"Admin_item_treasure","Treasure"
"Admin_item_all","Clone All Items"
"Admin_skill","Clone Skill"
"Admin_equip","Clone Gear"
"Admin_neigong","Clone Inner Kungfu"
"Admin_buff","Add Buff"
"Admin_ability","Clone Ability"
"Admin_weather","Change Weather"
"Admin_all_neigong","Clone All Inner Kungfu"
"Admin_all_argument","Unlock All Verbal Duels"
"Admin_unlock_argument","Unlock Verbal Duel"
"Admin_add_crime","Add crime value"
"Admin_disease","Add Ailment"
"Admin_destiny","Add Karma"
"Admin_change_gender","Change Gender"
"Admin_attitude","Add Attitude"
"Admin_apply_relation","Apply Relations"
"Admin_list","NPC List"
"Admin_apply_identity","Add Identity"
"Admin_random_relation","Randomize Relations"
"Admin_adventrue","Reload Event"
"Admin_force_adventrue","Force Event"
"Admin_hp_switch","Invulnerable"
"show_haer_desc_btn","Show enemy details"
"select_hater_text","Select Enemy"
"select_hater_none","You don’t have enemies in your last lifetime"
"skill_pre_desc_1","You’ve got no Weapon yet"
"skill_pre_desc_2","You’ve got no Concealed Weapon yet"
"skill_pre_desc_3","You have leg disability"
"area_1","Longting"
"area_2","Flora Woods"
"area_3","Mount Taiyue"
"area_4","Fire God Vale"
"area_5","Shadowoods"
"area_6"," Wolong Plain"
"area_7","Kuyler"
"area_8","Five-dragon Vale"
"area_9","Mount Millibeast "
"monster_desc_1005","TODO Eagle description"
"monster_name_1","「Monkey」"
"monster_name_1_1","「Big Monkey」"
"monster_name_2","「Snake」"
"monster_name_2_1","「Giant Snake」"
"monster_name_3","「Horse」"
"monster_name_3_1","「Great Horse」"
"monster_name_4","「Ferret」"
"monster_name_4_1","「Big Marten」"
"monster_name_5","「Eagle」"
"monster_name_5_1","「Giant Hawk」"
"monster_name_6","「Black Serpent」"
"monster_name_7","「Fire Lizard」"
"monster_name_8","「Poison Frog」"
"monster_name_9","「Dog」"
"monster_name_9_1","「Great Dog」"
"monster_name_10","「Wolf」"
"monster_name_10_1","「Huge Wolf」"
"monster_name_11","「Rooster」"
"monster_name_11_1","「Big Hen」"
"monster_name_12","「Boar」"
"monster_name_12_1","「Giant Boar」"
"monster_name_13","「Shark」"
"max_zhenqi","Chi"
"max_nei_li","Max Energy"
"max_hp","Max Vigor"
"xuan_yin_zhenqi_lv","<ZQ_XuanYin>「Chi of the Moon」 Lv. {0}</>"
"chun_yang_zhenqi_lv","<ZQ_ChunYang>「Chi of the Sun」 Lv. {0}</>"
"sha_du_zhenqi_lv","<ZQ_DuSha>「Chi of Venom」 Lv. {0}</>"
"hun_yuan_zhenqi_lv","<ZQ_HunYuan>「Chi of Harmony」 Lv. {0}</>"
"zhenqi_lv_0","<TipGray>No Bonus</>"
"xuan_yin_zhenqi_lv_1","<TipGray>Increases Moon Skill DMG by</> <TDName>50%</>"
"xuan_yin_zhenqi_lv_2","<TipGray>Increases Moon Skill DMG by</> <TDName>100%</>\\n<TipGray>Increases Heat Fading SPD by</> <TDName>1</>"
"xuan_yin_zhenqi_lv_3","<TipGray>Increases Moon Skill DMG by</> <TDName>150%</>\\n<TipGray>Increases Heat Fading SPD by</> <TDName>2</>\\n<TipGray>Blocks Ice Ailment growth</>"
"xuan_yin_zhenqi_lv_4","<TipGray>Increases Moon Skill DMG by</> <TDName>200%</>\\n<TipGray>Increases Heat Fading SPD by</> <TDName>3</>\\n<TipGray>Blocks Ice Ailment growth</>"
"xuan_yin_zhenqi_lv_5","<TipGray>Increases Moon Skill DMG by</> <TDName>250%</>\\n<TipGray>Increases Heat Fading SPD by</> <TDName>4</>\\n<TipGray>Blocks Ice Ailment growth</>\\n<TipGray>Doubles Moon Skill effects</>"
"chun_yang_zhenqi_lv_1","<TipGray>Increases Sun Skill DMG by</> <TDName>50%</>"
"chun_yang_zhenqi_lv_2","<TipGray>Increases Sun Skill DMG by</> <TDName>100%</>\\n<TipGray>Increases Cold Fading SPD by</> <TDName>1</>"
"chun_yang_zhenqi_lv_3","<TipGray>Increases Sun Skill DMG by</> <TDName>150%</>\\n<TipGray>Increases Cold Fading SPD by</> <TDName>2</>\\n<TipGray>Blocks Fire Ailment growth</>"
"chun_yang_zhenqi_lv_4","<TipGray>Increases Sun Skill DMG by</> <TDName>200%</>\\n<TipGray>Increases Cold Fading SPD by</> <TDName>3</>\\n<TipGray>Blocks Fire Ailment growth</>"
"chun_yang_zhenqi_lv_5","<TipGray>Increases Sun Skill DMG by</> <TDName>250%</>\\n<TipGray>Increases Cold Fading SPD by</> <TDName>4</>\\n<TipGray>Blocks Fire Ailment growth</>\\n<TipGray>Doubles Sun Skill effects</>"
"sha_du_zhenqi_lv_1","<TipGray>Increases Venom Skill DMG by</> <TDName>50%</>"
"sha_du_zhenqi_lv_2","<TipGray>Increases Venom Skill DMG by</> <TDName>100%</>\\n<TipGray>Increases Poison Gas Fading SPD by</> <TDName>1</>"
"sha_du_zhenqi_lv_3","<TipGray>Increases Venom Skill DMG by</> <TDName>150%</>\\n<TipGray>Increases Poison Gas Fading SPD by</> <TDName>2</>\\n<TipGray>Blocks Venom Ailment growth</>"
"sha_du_zhenqi_lv_4","<TipGray>Increases Venom Skill DMG by</> <TDName>200%</>\\n<TipGray>Increases Poison Gas Fading SPD by</> <TDName>3</>\\n<TipGray>Blocks Venom Ailment growth</>"
"sha_du_zhenqi_lv_5","<TipGray>Increases Venom Skill DMG by</> <TDName>250%</>\\n<TipGray>Increases Poison Gas Fading SPD by</> <TDName>4</>\\n<TipGray>Blocks Venom Ailment growth</>\\n<TipGray>Doubles Venom Skill effects</>"
"hun_yuan_zhenqi_lv_1","<TipGray>Increases Harmony Skill DMG by</> <TDName>50%</>"
"hun_yuan_zhenqi_lv_2","<TipGray>Increases Harmony Skill DMG by</> <TDName>100%</>\\n<TipGray>Increases Heat Fading SPD by</> <TDName>1</>"
"hun_yuan_zhenqi_lv_3","<TipGray>Increases Harmony Skill DMG by</> <TDName>150%</>\\n<TipGray>Increases Heat Fading SPD by</> <TDName>2</>\\n<TipGray>Blocks Hysteria growth</>"
"hun_yuan_zhenqi_lv_4","<TipGray>Increases Harmony Skill DMG by</> <TDName>200%</>\\n<TipGray>Increases Heat Fading SPD by</> <TDName>3</>\\n<TipGray>Blocks Hysteria growth</>"
"hun_yuan_zhenqi_lv_5","<TipGray>Increases Harmony Skill DMG by</> <TDName>250%</>\\n<TipGray>Increases Heat Fading SPD by</> <TDName>4</>\\n<TipGray>Blocks Hysteria growth</>\\n<TipGray>Doubles Harmony Skill effects</>"
"xuan_yin_zhenqi_lv_skill_1","<TipGray>Increases Moon Skill DMG by</> <TDName>50%</>"
"xuan_yin_zhenqi_lv_skill_2","<TipGray>Increases Moon Skill DMG by</> <TDName>100%</>"
"xuan_yin_zhenqi_lv_skill_3","<TipGray>Increases Moon Skill DMG by</> <TDName>150%</>"
"xuan_yin_zhenqi_lv_skill_4","<TipGray>Increases Moon Skill DMG by</> <TDName>200%</>"
